mu,gamma1,gamma2,gamma3,gamma4,gamma5,gamma6,gamma7,gamma8,gamma9,gamma10,gamma11,gamma12,gamma13,gamma14,gamma15,gamma16,gamma17,gamma18,gamma19,gamma20
0.20255,0.16985518444379782,0.19166901411826037,0.23455306607664997,0.2587866742669194,0.28110450918905544,0.29371364141770906,0.3013050620898919,0.2699041000740147,0.30195618812714703,0.302248979861131,0.30052206936353926,0.2678097099932392,0.29891651888543114,0.2965939188135126,0.29663682702080213,0.2611879691136979,0.2977080594377371,0.2957051638526064,0.29217792190132164,0.2602051172202029
0.214614,0.1601839783660557,0.18042330688598646,0.2208017812363683,0.24381264859532958,0.26468635770850624,0.2765686641392052,0.28406002524708684,0.2548385151439727,0.28465773039546943,0.28475286497697344,0.283253450436036,0.2528560345606285,0.2817348739078546,0.2793189978073551,0.2795086704866534,0.24658955569610952,0.28050029058081427,0.27849210196182667,0.27530775508679733,0.24564582607976895
0.227397,0.1510783116766104,0.16984702390660547,0.20785792291610794,0.22969247322525688,0.24922588534196408,0.26043157704937053,0.26782700565785156,0.24062321924767888,0.2683761751176508,0.26829988628080176,0.2670008349066367,0.23874575402823434,0.26556325438895517,0.2630912739995426,0.26339139073076095,0.23281477779048562,0.2643115660903927,0.2623157126704317,0.25943614560527906,0.23190961889261902
0.24094,0.142507772180653,0.15991055714139324,0.19568167770022643,0.2163866114755626,0.23467511384583137,0.24525162172724455,0.25255709426106343,0.227220856151436,0.2530619715017878,0.2528368134016423,0.25171562734309494,0.22544507822836107,0.2503529727036485,0.24783029491605002,0.2482345464707426,0.2198302342565453,0.2490915666701957,0.24711496222668172,0.24451455787150847,0.21896228946202045
0.255291,0.13443131951960274,0.1505472109575554,0.18419945418463862,0.20381952507656897,0.22095050038319508,0.23093991619371665,0.23815845956143497,0.21455693078286947,0.23862347032083067,0.23826821838529919,0.23730525883085027,0.21287773322725065,0.23601278606821155,0.2334769424336647,0.2339474878510338,0.2075617362606266,0.2347473054742152,0.23280020823762929,0.23045216989279177,0.20673067449072227
0.270496,0.12682218810637266,0.14173310254055574,0.17337966065713273,0.19196172121524968,0.20801319494477363,0.21745154875312597,0.22459094519683007,0.20260322241262294,0.22502074852681994,0.2245549378013394,0.2237295925347703,0.20101527029914684,0.22250258636357634,0.21996745102966744,0.22048959555478045,0.19598115502402422,0.22123741240271547,0.21932680591496168,0.21720879411444244,0.19518560521900724
0.286607,0.11965968994327984,0.13344918168005468,0.16319949303167064,0.18078834987273493,0.1958342897163634,0.20475371355504277,0.21182607986332003,0.19134139463881283,0.21222680150550674,0.21166443576166885,0.2109620951553999,0.1898418638084589,0.20979695396054668,0.2072701345614022,0.2078336463215163,0.18507082176406878,0.20853385607916264,0.20666347870079957,0.2047571333471764,0.1843097859749072
0.303677,0.1129115203273833,0.12564802452298596,0.15360543024869694,0.17024604950632946,0.18435214802390704,0.1927814123139468,0.19979460078591296,0.18071414728539353,0.20017404382025808,0.19952883508824837,0.19893478032782513,0.1792987534534774,0.197828060767265,0.19532745032454268,0.19591224861740997,0.17477519602203512,0.1965686185621177,0.19474460389678186,0.19303087003067187,0.1740469661503496
0.321764,0.1065600072011974,0.1183152076547482,0.1445779124392983,0.16031338042690543,0.17354178488939748,0.18150726118419452,0.18846727804146116,0.17070555722038935,0.1888383428079163,0.1881216051890602,0.187623690485226,0.16937069726676157,0.18657237413513056,0.18410889377164164,0.18470122961863283,0.16507839113552011,0.18531663662864362,0.18354132277972707,0.18200493738243534,0.1643818134153355
0.340929,0.10057600026700106,0.11141135936371561,0.13606960025201523,0.15094230944808829,0.16334902994342165,0.17087483767591444,0.17777108642694006,0.16126347807534205,0.17815906940535206,0.17738050457294818,0.17696842828443202,0.16000612055029262,0.175969647509382,0.17354904385658737,0.17414097848834895,0.15592945236520256,0.17471802139509243,0.1729922437952203,0.1716199914528762,0.1552633963136976
